Berliner;;Niederschlag;;Donnerstag 31. Dezember 2015
Wasserbetriebe;;[mm];;
AE-P;;;;
Obj Nr;Pumpwerk;Niederschlag;;
01.01;Zhl I;;;
01.02;Zhl II;;;
01.07;Zhl Ie;0,7;;
01.09;Zhl Ih;0,2;;
02.01;Stg;;;
02.05;Mfd I;0,3;;
02.07;Lrd;0,1;;
03.01;Wil;0,4;;
03.08;Wil a;0,1;;
;Mittelwert:;0,495;;
;;;;
Berliner;;Niederschlag;;Montag 28. Dezember 2015
Wasserbetriebe;;[mm];;
AE-P;;;;
Obj Nr;Pumpwerk;Niederschlag;;
01.01;Zhl I;;;
01.02;Zhl II;;;
01.07;Zhl Ie;;;
01.09;Zhl Ih;;;
02.01;Stg;0,3;;
02.05;Mfd I;0,3;;
02.07;Lrd;;;
03.01;Wil;0,5;;
03.08;Wil a;0,6;;
;Mittelwert:;0,36;;
;;;;
Berliner;;Niederschlag;;Donnerstag 24. Dezember 2015
Wasserbetriebe;;[mm];;
AE-P;;;;
Obj Nr;Pumpwerk;Niederschlag;;
01.01;Zhl I;0,8;;
01.02;Zhl II;;;
01.07;Zhl Ie;0,7;;
01.09;Zhl Ih;0,5;;
02.01;Stg;0,6;;
02.05;Mfd I;0,1;;
02.07;Lrd;0,1;;
03.01;Wil;0,5;;
03.08;Wil a;0,3;;
;Mittelwert:;0,344444444;;
;;;;
Berliner;;Niederschlag;;Dienstag 22. Dezember 2015
Wasserbetriebe;;[mm];;
AE-P;;;;
Obj Nr;Pumpwerk;Niederschlag;;
01.01;Zhl I;;;
01.02;Zhl II;;;
01.07;Zhl Ie;;;
01.09;Zhl Ih;;;
02.01;Stg;0,1;;
02.05;Mfd I;;;
02.07;Lrd;0,1;;
03.01;Wil;0,1;;
03.08;Wil a;;;
;Mittelwert:;0,188888889;;
